               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.068197,            0.054857,            0.030647,             0.19843,             0.60322,             0.33768,             0.13896,            0.072806,            0.041366,            0.030588,             0.03378,           0.0067797,           0.0067797
                  37,            0.078528,            0.051762,            0.030939,             0.23848,               0.527,             0.39294,             0.15964,            0.062246,            0.043845,            0.030194,            0.031951,           0.0069505,           0.0069505
                  38,            0.063666,            0.058004,            0.029862,             0.33058,              0.6687,             0.51646,             0.23791,            0.067567,            0.041831,            0.029146,            0.030121,           0.0071207,           0.0071207
                  39,            0.068308,             0.04982,            0.029427,             0.25784,              0.6627,               0.394,             0.16062,            0.067732,            0.041485,            0.028633,             0.02829,             0.00729,             0.00729
                  40,            0.069835,            0.050859,            0.028264,             0.24575,             0.72321,             0.34204,             0.12917,            0.066077,            0.041223,            0.028249,            0.026458,           0.0074585,           0.0074585
                  41,            0.068005,            0.054361,            0.027815,             0.24679,             0.67907,             0.38365,             0.13568,            0.071669,            0.040054,            0.028098,            0.024626,           0.0076262,           0.0076262
                  42,            0.073336,            0.052957,            0.027412,             0.25387,             0.73393,             0.41588,             0.18038,            0.062663,            0.042051,            0.027846,            0.022793,           0.0077931,           0.0077931
                  43,            0.061877,            0.051801,            0.027755,             0.28129,             0.61051,             0.44701,             0.20922,            0.067138,            0.046098,            0.027219,            0.020959,           0.0079593,           0.0079593
                  44,             0.06678,            0.051537,            0.028324,             0.27539,             0.65489,             0.45524,             0.17095,            0.062743,            0.041294,             0.02731,            0.019125,           0.0081246,           0.0081246
                  45,            0.069027,            0.052449,            0.026937,             0.25905,             0.61532,             0.39986,             0.15389,            0.069551,            0.039726,            0.026605,            0.017289,           0.0082892,           0.0082892
                  46,            0.069379,            0.052937,            0.026313,              0.1659,             0.60216,              0.3049,             0.12228,            0.071396,            0.041568,            0.025882,            0.015453,            0.008453,            0.008453
                  47,            0.071465,            0.059062,            0.025929,             0.30414,             0.71077,              0.4588,             0.21473,            0.065249,             0.04952,            0.025264,            0.013616,           0.0086159,           0.0086159
                  48,            0.064329,            0.050509,            0.024413,             0.32105,              0.6605,              0.4334,             0.17292,            0.071814,            0.038981,            0.024994,            0.011778,           0.0087781,           0.0087781
                  49,            0.071823,            0.053089,            0.025142,             0.37405,             0.67579,             0.53201,             0.23848,            0.056676,            0.041461,            0.024966,           0.0099395,           0.0089395,           0.0089395
                  50,            0.057706,            0.049951,            0.024998,             0.22184,             0.60528,             0.35399,             0.12594,            0.069321,            0.043195,            0.024184,             0.00901,             0.00901,             0.00901
                  51,            0.066835,            0.046571,            0.024241,             0.27325,             0.66701,             0.46272,             0.17694,            0.060883,            0.041366,            0.024033,             0.00901,             0.00901,             0.00901
                  52,            0.063412,             0.05528,            0.024439,             0.29027,             0.72331,             0.47121,             0.20468,            0.061792,            0.045264,            0.023451,           0.0089902,           0.0089902,           0.0089902
                  53,            0.060158,            0.057359,            0.023464,             0.23944,             0.58521,             0.41871,             0.16934,            0.059413,            0.042045,            0.023167,           0.0089704,           0.0089704,           0.0089704
                  54,            0.061002,            0.052078,            0.025041,             0.33793,             0.60102,             0.47116,             0.18971,            0.061702,             0.04645,            0.022893,           0.0089506,           0.0089506,           0.0089506
                  55,            0.061674,            0.051723,            0.022651,             0.28407,             0.60392,             0.44318,             0.20126,            0.063446,            0.045264,            0.022412,           0.0089308,           0.0089308,           0.0089308
                  56,            0.061925,            0.051989,             0.02269,             0.27653,             0.70067,             0.45009,             0.17648,            0.057528,            0.040728,            0.022147,            0.008911,            0.008911,            0.008911
                  57,            0.059101,            0.059367,            0.023492,             0.35187,             0.74868,             0.57604,             0.27929,            0.056025,            0.049567,             0.02178,           0.0088912,           0.0088912,           0.0088912
                  58,            0.053526,            0.052901,            0.023073,             0.25452,              0.7341,             0.46838,             0.20062,            0.056945,            0.041223,            0.021597,           0.0088714,           0.0088714,           0.0088714
                  59,            0.058504,            0.052594,             0.02211,             0.33285,             0.78707,             0.58575,             0.26647,            0.060968,            0.045955,            0.021172,           0.0088516,           0.0088516,           0.0088516
                  60,            0.060822,            0.052283,            0.022097,             0.29317,             0.65773,             0.46113,             0.22426,            0.055327,            0.045514,            0.020952,           0.0088318,           0.0088318,           0.0088318
                  61,            0.057175,            0.052366,            0.021636,             0.26104,             0.80172,             0.49212,             0.22492,            0.054551,            0.040489,            0.020792,            0.008812,            0.008812,            0.008812
                  62,            0.052804,            0.045874,             0.02173,             0.33455,             0.81949,             0.59977,             0.23693,            0.059971,            0.045919,             0.02054,           0.0087922,           0.0087922,           0.0087922
                  63,            0.057716,            0.051241,            0.020613,             0.30427,             0.68826,             0.47538,             0.18852,            0.062119,            0.042999,            0.020398,           0.0087724,           0.0087724,           0.0087724
                  64,            0.060245,            0.053378,            0.020235,             0.28807,             0.68488,             0.45772,             0.17288,            0.058668,            0.040257,            0.020247,           0.0087526,           0.0087526,           0.0087526
                  65,            0.056382,            0.049198,            0.020755,             0.32454,              0.7679,             0.55369,             0.25549,            0.056387,            0.046659,            0.020219,           0.0087328,           0.0087328,           0.0087328
                  66,            0.054997,            0.046668,            0.019824,              0.4344,             0.71684,             0.63641,             0.26768,            0.052931,            0.041187,            0.019945,            0.008713,            0.008713,            0.008713
                  67,            0.050355,            0.049021,            0.020419,              0.3339,             0.70135,             0.60673,             0.31156,             0.05504,            0.045651,            0.019858,           0.0086932,           0.0086932,           0.0086932
                  68,            0.054606,             0.04536,            0.019847,             0.39162,             0.74006,             0.54611,             0.22455,             0.05539,            0.041187,            0.019798,           0.0086734,           0.0086734,           0.0086734
                  69,            0.052392,            0.041731,            0.020499,             0.40656,             0.77275,             0.65439,             0.32234,             0.05242,            0.036788,            0.019606,           0.0086536,           0.0086536,           0.0086536
                  70,            0.057245,            0.045994,            0.020405,             0.58124,             0.88372,             0.75617,             0.34037,            0.043096,            0.048095,            0.019849,           0.0086338,           0.0086338,           0.0086338
                  71,            0.043938,            0.049629,            0.019269,              0.2955,             0.69301,             0.46263,             0.21313,            0.064289,            0.048053,            0.019606,            0.008614,            0.008614,            0.008614
                  72,            0.060976,            0.050742,            0.019103,              0.5002,             0.89458,             0.77469,             0.36079,            0.039907,            0.041157,            0.019666,           0.0085942,           0.0085942,           0.0085942
                  73,            0.044027,            0.043769,            0.019955,             0.23674,             0.76534,             0.49741,             0.21673,             0.06476,            0.052083,            0.019579,           0.0085744,           0.0085744,           0.0085744
                  74,            0.056903,            0.048499,            0.020028,             0.37059,             0.88376,             0.66077,             0.30146,            0.050167,            0.039411,            0.019524,           0.0085546,           0.0085546,           0.0085546
                  75,            0.053773,            0.051935,            0.018754,             0.43804,             0.82721,             0.68884,             0.31988,            0.046494,            0.044489,            0.019519,           0.0085348,           0.0085348,           0.0085348
                  76,            0.046398,            0.050204,            0.020594,             0.53385,             0.76362,             0.75039,              0.3737,            0.050258,            0.046802,            0.019212,            0.008515,            0.008515,            0.008515
                  77,            0.051641,            0.049176,            0.018966,             0.45982,              0.7258,             0.63202,             0.32616,             0.04942,            0.036854,            0.019107,           0.0084952,           0.0084952,           0.0084952
                  78,            0.048976,            0.049048,             0.01991,             0.55288,             0.84903,             0.75942,             0.33569,            0.042532,            0.039279,            0.018947,           0.0084754,           0.0084754,           0.0084754
                  79,             0.04462,            0.042868,            0.018731,             0.35803,             0.64941,             0.51658,             0.26325,            0.054555,            0.041246,            0.018759,           0.0084556,           0.0084556,           0.0084556
                  80,            0.054121,             0.04691,            0.019431,              0.6717,             0.84973,             0.84404,             0.37718,              0.0411,            0.033689,            0.018503,           0.0084358,           0.0084358,           0.0084358
                  81,            0.041487,            0.043382,             0.01901,              0.4679,             0.73188,             0.66005,             0.34938,            0.052642,            0.045651,             0.01853,            0.008416,            0.008416,            0.008416
                  82,            0.052708,            0.048813,             0.01833,             0.59157,             0.83064,             0.77531,             0.37803,            0.039819,            0.034368,            0.018159,           0.0083962,           0.0083962,           0.0083962
                  83,            0.042585,            0.041295,             0.01866,             0.46675,             0.80957,             0.67987,             0.38104,            0.050511,            0.038099,            0.017995,           0.0083764,           0.0083764,           0.0083764
                  84,            0.050625,            0.040842,            0.018362,             0.66342,             0.81506,             0.81978,             0.40647,            0.042262,              0.0359,            0.017798,           0.0083566,           0.0083566,           0.0083566
                  85,             0.04524,            0.051133,            0.018078,             0.50291,             0.81446,             0.69415,             0.39334,            0.047166,            0.038171,            0.017812,           0.0083368,           0.0083368,           0.0083368
                  86,            0.046665,            0.050234,            0.018027,             0.65203,             0.83895,             0.81175,             0.40074,            0.043158,            0.036812,            0.017619,            0.008317,            0.008317,            0.008317
                  87,            0.045907,            0.039602,             0.01783,             0.49788,              0.8671,              0.7686,             0.39225,            0.042208,            0.034475,            0.017555,           0.0082972,           0.0082972,           0.0082972
                  88,            0.043659,            0.042533,            0.018449,             0.70528,             0.87025,             0.84964,             0.41331,            0.041143,            0.037038,            0.017404,           0.0082774,           0.0082774,           0.0082774
                  89,            0.046516,            0.043898,            0.017347,              0.6308,              0.7886,             0.78609,             0.40644,            0.041905,            0.033712,            0.017331,           0.0082576,           0.0082576,           0.0082576
                  90,            0.041718,            0.043751,             0.01805,             0.73734,             0.85664,             0.86612,             0.39354,            0.041141,            0.035042,            0.017061,           0.0082378,           0.0082378,           0.0082378
                  91,            0.046442,            0.044177,            0.016548,             0.54337,             0.80838,             0.74309,             0.37895,            0.042555,            0.033945,            0.016969,            0.008218,            0.008218,            0.008218
